region	gridX	gridY
GM0748	4	11
GM0873	6	10
GM0851	5	11
GM1674	6	11
GM0779	10	13
GM0766	11	13
GM0874	11	14
GM0809	12	13
GM0797	13	13
GM0823	14	11
GM0867	12	14
GM0824	13	12
GM0770	14	10
GM0738	13	14
GM0788	14	12
GM0865	14	13
GM0753	15	11
GM0861	15	10
GM0757	15	12
GM0845	15	13
GM0848	16	11
GM0772	16	10
GM1721	16	13
GM0820	17	11
GM0796	15	14
GM1948	16	12
GM0866	17	10
GM0856	17	13
GM0794	18	11
GM0828	16	14
GM1659	17	12
GM1771	18	10
GM1685	17	14
GM0755	18	12
GM1658	17	9
GM1652	19	11
GM0762	19	10
GM0815	18	13
GM0786	18	14
GM1702	19	12
GM0756	20	12
GM1684	19	13
GM0847	18	9
GM0743	19	9
GM0785	11	12
GM0758	8	13
GM1723	9	12
GM1719	7	13
GM1728	14	9
GM1706	17	8
GM0744	11	11
GM1724	15	9
GM0784	10	12
GM1667	13	10
GM0798	13	11
GM0855	12	12
GM0858	16	9
GM0870	10	14
GM0826	9	13
GM0840	7	11
GM0879	8	10
GM1655	7	12
GM0777	8	11
GM1709	8	12
GM0733	12	15
GM0297	13	15
GM0263	14	14
GM0304	14	15
GM0216	13	16
GM0281	15	15
GM0236	14	16
GM0668	16	15
GM0214	15	16
GM0225	17	15
GM1740	17	16
GM0279	16	18
GM0252	19	14
GM0296	18	15
GM0268	19	15
GM1945	20	14
GM1734	19	16
GM0267	16	20
GM0289	17	17
GM0209	18	16
GM0274	18	18
GM0285	20	21
GM0200	19	20
GM0213	20	20
GM0244	20	23
GM0275	20	19
GM0301	21	20
GM0221	21	19
GM1876	22	19
GM0262	22	20
GM0299	20	18
GM0222	21	18
GM1586	22	18
GM0232	19	21
GM0246	19	22
GM0277	19	19
GM0302	18	21
GM0233	18	20
GM0293	19	18
GM0202	18	19
GM0203	17	20
GM0226	19	17
GM0196	20	17
GM1705	18	17
GM0228	17	19
GM0273	16	21
GM0197	23	17
GM1955	21	17
GM1509	22	17
GM1859	23	19
GM0294	23	18
GM0230	18	22
GM0243	17	21
GM0269	19	23
GM1842	4	17
GM0603	5	18
GM0503	5	17
GM0626	6	19
GM0606	5	16
GM0534	8	22
GM0579	7	20
GM1916	6	18
GM0546	7	19
GM1926	6	17
GM0553	8	21
GM0613	6	16
GM0547	8	20
GM0637	7	18
GM0489	6	15
GM0597	7	16
GM0638	8	19
GM1621	7	17
GM1884	9	21
GM0642	7	15
GM0484	9	20
GM1892	8	18
GM0502	8	17
GM0627	9	19
GM0542	8	16
GM1901	10	19
GM0513	9	18
GM0569	10	20
GM1931	9	17
GM0531	8	15
GM1525	7	21
GM0584	5	15
GM0622	4	16
GM0556	3	16
GM1930	4	15
GM0501	3	15
GM0530	3	14
GM0588	4	14
GM0505	9	14
GM0610	9	15
GM0482	9	16
GM1927	10	17
GM0590	8	14
GM0617	7	14
GM0585	6	14
GM0537	6	20
GM0629	5	19
GM0518	4	18
GM1783	3	17
GM0599	2	16
GM0576	7	22
GM0575	6	21
GM0614	2	15
GM0611	5	14
GM1924	1	11
GM0545	12	16
GM0512	11	15
GM0707	11	16
GM0523	10	15
GM0689	10	16
GM0736	11	21
GM0632	11	20
GM0589	10	18
GM1904	12	21
GM0335	11	19
GM0620	12	17
GM0321	13	17
GM0312	13	18
GM0352	14	17
GM0310	13	19
GM0355	14	18
GM0340	16	16
GM0351	15	18
GM1581	15	17
GM0342	14	19
GM0308	14	20
GM0307	15	19
GM0345	16	17
GM0313	15	20
GM0356	12	18
GM0317	15	21
GM0353	11	18
GM0331	11	17
GM0344	12	19
GM0339	17	18
GM0327	16	19
GM0015	21	30
GM0025	21	29
GM0014	22	30
GM0022	22	29
GM0017	23	30
GM0018	23	29
GM0040	24	30
GM1987	24	29
GM0056	21	31
GM0005	22	31
GM0009	23	31
GM0003	24	31
GM1895	25	30
GM0047	24	28
GM0765	25	29
GM0048	25	26
GM1663	21	32
GM0053	22	32
GM1651	23	32
GM0010	25	31
GM0007	26	30
GM0024	24	32
GM0037	25	28
GM1708	20	26
GM1773	20	22
GM0150	21	21
GM0163	21	22
GM0189	22	22
GM1742	22	21
GM0177	21	23
GM0141	23	22
GM1700	22	23
GM1735	23	21
GM0158	23	20
GM0164	24	21
GM0173	25	21
GM0153	24	20
GM0168	26	22
GM0166	18	24
GM0183	23	23
GM0147	24	22
GM1774	25	22
GM0160	23	24
GM0148	21	24
GM0193	20	24
GM0175	22	24
GM1896	19	24
GM0180	21	25
GM0171	19	25
GM0184	18	26
GM0034	16	22
GM0995	17	23
GM0050	17	22
GM0303	18	23
GM0715	2	6
GM1714	1	6
GM0677	3	6
GM1676	3	12
GM0716	4	12
GM0717	0	9
GM0654	2	8
GM0718	1	9
GM0687	2	9
GM0678	3	10
GM0664	2	10
GM0703	4	10
GM1695	3	11
GM1730	23	28
GM1699	21	28
GM0106	22	28
GM1680	23	27
GM1731	22	27
GM1681	24	27
GM0109	23	26
GM0118	22	26
GM1701	21	26
GM0119	20	25
GM1690	22	25
GM0114	24	26
GM0394	9	22
GM0358	10	22
GM0451	10	21
GM0437	11	22
GM1942	12	22
GM0457	12	23
GM0473	7	23
GM0377	8	23
GM0384	11	23
GM0362	10	23
GM0397	9	23
GM0393	10	24
GM0392	9	24
GM0363	11	24
GM0402	13	20
GM0406	13	22
GM0376	14	21
GM1696	12	20
GM0417	13	21
GM0432	11	30
GM0398	11	29
GM0373	10	29
GM0416	10	30
GM0441	10	31
GM0400	11	31
GM1911	12	31
GM0420	12	30
GM1598	12	29
GM0388	14	29
GM0532	13	29
GM0405	13	28
GM0498	14	28
GM0448	12	33
GM0450	9	27
GM0431	10	26
GM0880	10	27
GM0415	10	25
GM0852	11	25
GM0375	9	26
GM0479	9	25
GM0453	8	26
GM0396	8	27
GM0399	9	28
GM0383	8	28
GM0385	11	27
GM0439	11	26
GM0370	11	28
GM0361	10	28
GM0962	19	4
GM0917	20	3
GM0881	19	5
GM1883	18	5
GM0971	18	4
GM0888	18	3
GM0928	21	2
GM0899	20	4
GM0882	21	3
GM0986	20	2
GM0951	19	3
GM0984	20	11
GM1507	20	10
GM1894	20	9
GM0988	18	8
GM0889	21	9
GM1640	20	8
GM0944	20	13
GM0907	21	12
GM0983	21	10
GM0893	21	11
GM0946	19	8
GM0938	18	1
GM0965	19	1
GM0994	19	2
GM1903	18	0
GM1729	19	0
GM0935	17	0
GM0981	20	0
GM1641	19	7
GM0957	20	7
GM1669	20	6
GM1711	19	6
GM0737	19	29
GM0059	20	29
GM0140	18	28
GM0080	19	28
GM0090	20	28
GM0070	18	29
GM1891	20	30
GM0081	19	30
GM1908	18	30
GM0079	20	31
GM0074	19	27
GM0086	20	27
GM0085	21	27
GM0098	19	26
GM1900	17	28
GM0058	20	32
GM1722	19	31
GM0063	18	31
GM0072	17	30
GM1940	18	27
GM0096	13	32
GM0093	14	31
GM0060	15	30
GM0088	16	29