label	x	y
GM0003	529.589	702.4
GM0005	493.19	696.356
GM0007	570.124	650.68
GM0009	506.896	692.744
GM0010	541.217	703.328
GM0014	491.506	679.141
GM0015	446.58	674.93
GM0017	498.68	662.676
GM0018	515.509	661.245
GM0022	460.648	664.203
GM0024	511.927	707.727
GM0025	447.231	660.684
GM0034	297.398	471.668
GM0037	554.543	627.098
GM0040	522.474	682.875
GM0047	535.143	647.584
GM0048	570.693	617.178
GM0050	327.581	466.544
GM0053	480.111	704.522
GM0056	461.07	690.665
GM0058	411.607	710.897
GM0059	427.711	676.649
GM0060	371.167	732.473
GM0063	356.245	691.302
GM0070	339.773	671.186
GM0072	327.55	666.139
GM0074	396.275	623.315
GM0079	431.709	696.152
GM0080	381.891	661.121
GM0081	374.924	686.848
GM0085	448.679	620.493
GM0086	423.716	636.287
GM0088	439.118	742.949
GM0090	412.836	651.652
GM0093	309.987	720.066
GM0096	256.827	686.384
GM0098	410.252	594.43
GM0106	487.87	625.602
GM0109	515.763	563.257
GM0114	548.828	566.186
GM0118	483.257	558.572
GM0119	436.411	556.222
GM0140	357.083	654.149
GM0141	506.041	468.643
GM0147	518.82	460.315
GM0148	449.151	507.949
GM0150	443.831	448.566
GM0153	539.129	438.684
GM0158	521.354	422.618
GM0160	492.675	525.638
GM0163	475.257	477.408
GM0164	524.209	446.596
GM0166	398.452	517.168
GM0168	557.211	458.808
GM0171	373.894	554.896
GM0173	543.617	459.698
GM0175	472.427	508.597
GM0177	449.879	477.418
GM0180	438.578	536.41
GM0183	523.262	484.047
GM0184	353.787	543.668
GM0189	491.634	467.57
GM0193	425.828	508.641
GM0196	422.425	355.241
GM0197	493.277	365.87
GM0200	397.486	429.265
GM0202	393.454	383.825
GM0203	355.958	423.851
GM0209	370.924	350.409
GM0213	426.847	410.056
GM0214	320.611	368.453
GM0216	291.786	370.275
GM0221	431.295	388.373
GM0222	452.287	374.682
GM0225	351.768	353.268
GM0226	412.277	370.836
GM0228	368.847	401.798
GM0230	386.474	482.639
GM0232	402.134	461.943
GM0233	359.763	452.597
GM0236	293.329	356.332
GM0243	357.841	465.014
GM0244	416.339	497.984
GM0246	416.06	481.444
GM0252	382.733	330.038
GM0262	460.559	427.416
GM0263	304.644	329.461
GM0267	332.769	434.027
GM0268	385.379	344.638
GM0269	399.331	493.497
GM0273	347.367	441.855
GM0274	377.417	380.954
GM0275	417.019	391.811
GM0277	404.592	393.87
GM0279	335.006	404.796
GM0281	321.097	355.639
GM0285	423.69	438.083
GM0289	359.351	376.986
GM0293	405.178	373.416
GM0294	517.726	377.87
GM0296	365.239	339.296
GM0297	283.921	333.366
GM0299	422.254	374.059
GM0301	443.928	416.828
GM0302	377.214	465.013
GM0303	345.001	488.002
GM0304	302.562	343.693
GM0307	317.789	425.073
GM0308	299.91	432.352
GM0310	286.544	417.439
GM0312	292.818	393.164
GM0313	313.827	440.719
GM0317	302.229	443.426
GM0321	287.55	384.318
GM0327	322.506	412.7
GM0331	252.337	379.966
GM0335	252.209	394.97
GM0339	340.022	399.902
GM0340	343.995	378.693
GM0342	304.664	420.88
GM0344	271.705	405.318
GM0345	343.245	389.016
GM0351	324.026	402.819
GM0352	308.93	380.695
GM0353	264.796	390.089
GM0355	298.538	407.842
GM0356	274.609	390.792
GM0358	224.519	445.703
GM0361	232.34	528.442
GM0362	238.864	453.185
GM0363	243.174	475.23
GM0370	248.964	517.71
GM0373	212.982	543.293
GM0375	210.109	500.314
GM0376	299.05	450.46
GM0377	200.894	475.811
GM0383	214.553	517.818
GM0384	258.959	464.405
GM0385	263.956	513.696
GM0388	301.435	555.703
GM0392	208.906	476.102
GM0393	218.54	480.715
GM0394	214.015	455.31
GM0396	209.363	507.024
GM0397	204.055	466.857
GM0398	238.542	546.254
GM0399	218.412	528.097
GM0400	225.805	605.731
GM0402	285.659	437.06
GM0405	271.602	541.28
GM0406	295.149	453.616
GM0415	249.928	491.928
GM0416	230.479	549.983
GM0417	292.954	442.796
GM0420	275.928	556.812
GM0431	242.786	492.308
GM0432	254.576	555.598
GM0437	248.045	453.147
GM0439	256.87	504.298
GM0441	224.671	572.426
GM0448	234.174	643.979
GM0450	221.189	509.68
GM0451	229.784	440.657
GM0453	206.572	492.002
GM0457	269.454	456.357
GM0473	193.479	470.153
GM0479	227.603	495.06
GM0482	210.35	351.257
GM0484	207.265	411.125
GM0489	189.348	348.215
GM0498	285.545	543.102
GM0501	138.536	357.988
GM0502	197.749	368.299
GM0503	165.585	383.99
GM0505	216.71	331.318
GM0512	256.84	344.593
GM0513	216.738	387.445
GM0518	156.46	400.956
GM0523	238.191	343.308
GM0530	131.339	347.964
GM0531	206.267	345.798
GM0532	294.406	551.993
GM0534	198.248	455.367
GM0537	175.073	429.878
GM0542	200.972	363.395
GM0545	273.176	360.005
GM0546	184.231	421.411
GM0547	192.683	421.712
GM0553	193.528	445.501
GM0556	148.289	366.618
GM0569	227.964	424.761
GM0575	176.446	451.775
GM0576	187.666	449.399
GM0579	182.26	428.792
GM0584	172.464	338.474
GM0585	190.652	334.717
GM0588	160.289	331.23
GM0589	240.296	390.175
GM0590	215.899	343.644
GM0597	199.957	352.361
GM0599	111.88	367.546
GM0603	160.193	393.144
GM0606	168.647	366.693
GM0610	226.302	342.937
GM0611	178.513	322.548
GM0613	175.939	348.617
GM0614	124.692	359.76
GM0617	192.754	322.398
GM0620	277.048	376.006
GM0622	160.049	364.56
GM0626	177.234	414.242
GM0627	207.051	394.059
GM0629	167.557	417.451
GM0632	245.586	409.264
GM0637	184.642	398.768
GM0638	188.378	411.692
GM0642	201.284	341.049
GM0654	80.7678	252.352
GM0664	85.9784	269.043
GM0668	334.512	347.602
GM0677	118.044	221.691
GM0678	104.241	261.397
GM0687	56.0727	266.509
GM0689	249.855	352.871
GM0703	113.38	249.453
GM0707	262.38	367.158
GM0715	84.9144	214.41
GM0716	129.428	282.062
GM0717	41.9453	274.939
GM0718	50.5091	256.839
GM0733	273.629	346.708
GM0736	248.505	437.975
GM0737	401.597	672.363
GM0738	269.906	322.237
GM0743	377.366	235.814
GM0744	243.81	248.558
GM0748	152.636	265.061
GM0753	319.556	266.272
GM0755	364.228	288.749
GM0756	402.569	292.547
GM0757	309.044	281.818
GM0758	224.072	283.869
GM0762	384.503	247.841
GM0765	548.736	643.444
GM0766	253.316	295.871
GM0770	307.202	238.087
GM0772	328.969	250.967
GM0777	206.542	282.396
GM0779	242.324	310.682
GM0784	247.658	277.548
GM0785	264.621	265.943
GM0786	371.475	321.72
GM0788	292.759	293.343
GM0794	358.821	257.323
GM0796	312.85	315.134
GM0797	284.112	310.381
GM0798	281.727	258.12
GM0809	267.152	296.926
GM0815	375.298	307.849
GM0820	342.616	257.865
GM0823	303.483	261.218
GM0824	289.621	275.558
GM0826	239.594	296.416
GM0828	339.001	330.752
GM0840	193.397	269.148
GM0845	316.798	300.777
GM0847	364.113	233.903
GM0848	332.506	266.936
GM0851	158.489	287.565
GM0852	263.214	492.26
GM0855	270.237	282.25
GM0856	357.891	300.469
GM0858	327.541	220.584
GM0861	317.559	241.779
GM0865	300.372	300.387
GM0866	329.89	235.875
GM0867	261.852	309.404
GM0870	241.174	327.522
GM0873	160.436	242.046
GM0874	259.412	331.132
GM0879	205.946	258.697
GM0880	239.78	504.371
GM0881	406.438	135.801
GM0882	416.711	120.608
GM0888	382.511	126.24
GM0889	421.383	207.929
GM0893	423.725	285.607
GM0899	408.248	129.321
GM0907	408.135	311.302
GM0917	407.038	117.373
GM0928	419.531	112.306
GM0935	365.879	107.411
GM0938	371.325	119.093
GM0944	394.939	322.773
GM0946	376.59	213.662
GM0951	390.255	120.163
GM0957	412.821	191.496
GM0962	394.457	131.025
GM0965	409.792	101.871
GM0971	375.534	135.373
GM0981	408.247	88.7532
GM0983	434.722	237.365
GM0984	404.854	267.025
GM0986	398.999	111.548
GM0988	364.3	198.988
GM0994	384.865	109.372
GM0995	330.676	498.23
GM1507	416.866	250.163
GM1509	470.776	362.181
GM1525	188.38	435.562
GM1581	318.328	391.643
GM1586	495.166	387.065
GM1598	253.694	538.615
GM1621	186.907	385.05
GM1640	393.552	200.552
GM1641	393.311	181.814
GM1651	505.349	725.134
GM1652	373.41	272.929
GM1655	188.253	285.538
GM1658	345.365	229.543
GM1659	351.969	270.478
GM1663	459.179	715.099
GM1667	281.993	233.753
GM1669	417.431	178.185
GM1674	173.183	267.115
GM1676	94.8721	310.085
GM1680	513.363	624.051
GM1681	534.875	603.499
GM1684	387.749	315.731
GM1685	358.905	315.189
GM1690	462.794	553.116
GM1695	75.2782	283.496
GM1696	273.341	437.806
GM1699	471.203	648.057
GM1700	496.752	492.552
GM1701	450.947	585.82
GM1702	386.496	291.425
GM1705	401.032	359.913
GM1706	349.79	211.61
GM1708	412.307	565.517
GM1709	191.249	301.865
GM1711	397.361	163.429
GM1714	35.123	225.345
GM1719	223.907	311.548
GM1721	338.184	307.44
GM1722	381.806	701.731
GM1723	242.867	263.575
GM1724	311.021	217.308
GM1728	295.733	232.281
GM1729	396.615	95.405
GM1730	495.039	648.788
GM1731	486.974	593.353
GM1734	376.531	365.232
GM1735	496.401	441.656
GM1740	347.964	363.091
GM1742	473.094	454.53
GM1771	348.389	246.492
GM1773	431.368	472.143
GM1774	543.744	475.415
GM1783	143.716	384.213
GM1842	156.978	376.004
GM1859	494.096	408.992
GM1876	454.454	395.03
GM1883	385.317	144.057
GM1884	205.716	430.214
GM1891	404.598	691.687
GM1892	201.933	383.641
GM1894	410.028	223.981
GM1895	560.057	673.647
GM1896	417.69	528.71
GM1900	340.135	627.282
GM1901	225.761	399.423
GM1903	377.327	94.9818
GM1904	262.57	426.009
GM1908	359.74	674.41
GM1911	254.115	583.128
GM1916	174.697	405.975
GM1924	129.199	324.147
GM1926	174.413	388.46
GM1927	230.69	357.37
GM1930	151.84	344.173
GM1931	221.216	372.266
GM1940	367.222	603.947
GM1942	280.814	455.842
GM1945	400.314	340.295
GM1948	336.081	285.193
GM1955	441.534	363.993
GM1987	534.518	666.305