region	gridX	gridY	red	green	blue
719	0	0	255	84	77
352	2	0	222	67	67
364	1	1	232	73	70
27	2	1	229	107	69
26	3	1	217	94	65
340	4	1	213	72	64
30	6	1	168	79	50
66	8	1	137	74	41
68	10	1	131	74	39
185	12	1	118	67	35
190	13	1	112	63	34
186	14	1	109	63	33
337	15	1	103	59	31
36	16	1	99	59	30
39	18	1	91	49	27
717	1	2	236	142	71
24	2	2	225	158	67
29	3	2	212	105	64
25	4	2	203	106	61
35	5	2	178	77	54
317	6	2	162	82	49
274	7	2	159	80	48
289	8	2	145	88	43
67	9	2	139	79	42
363	10	2	134	74	40
187	11	2	123	77	37
169	12	2	120	90	36
189	13	2	112	73	33
191	14	2	106	78	32
188	15	2	104	71	31
170	16	2	102	81	30
38	17	2	93	61	28
80	18	2	87	64	26
40	19	2	82	49	25
81	20	2	68	48	20
28	3	3	213	126	64
151	4	3	201	133	60
32	5	3	182	97	55
33	6	3	162	94	49
31	7	3	157	80	47
61	8	3	142	87	43
62	9	3	130	91	39
69	10	3	125	101	37
174	11	3	118	95	35
177	12	3	113	98	34
176	13	3	111	87	33
179	14	3	109	93	33
175	15	3	106	86	32
199	16	3	103	89	31
82	17	3	95	78	28
83	18	3	89	74	27
37	19	3	82	53	25
85	20	3	74	56	22
87	21	3	59	48	18
149	3	4	211	156	63
153	4	4	194	148	58
152	5	4	186	121	56
34	6	4	172	104	52
60	7	4	152	87	46
59	8	4	138	113	42
63	9	4	139	93	42
172	10	4	121	104	36
171	11	4	118	99	35
178	12	4	115	105	35
198	13	4	110	97	33
218	14	4	107	96	32
216	15	4	106	92	32
211	16	4	99	93	30
200	17	4	99	87	30
90	18	4	92	85	28
88	19	4	82	66	25
89	20	4	75	65	22
86	21	4	65	55	20
737	4	5	189	167	57
150	5	5	181	140	54
345	6	5	162	134	49
64	7	5	148	108	44
319	8	5	131	121	39
65	9	5	129	106	39
275	10	5	124	111	37
173	11	5	117	104	35
201	12	5	112	105	34
217	13	5	110	102	33
219	14	5	106	99	32
208	15	5	104	96	31
209	16	5	103	97	31
210	17	5	101	93	30
212	18	5	96	89	29
91	19	5	88	80	26
307	20	5	82	76	25
84	21	5	58	52	17
354	4	6	202	192	60
269	5	6	179	154	54
331	6	6	178	174	54
335	7	6	156	154	47
342	8	6	142	130	42
347	9	6	128	117	38
346	10	6	123	115	37
329	11	6	119	113	36
204	12	6	115	112	34
220	13	6	107	102	32
221	14	6	107	102	32
222	15	6	106	102	32
224	17	6	102	98	30
229	18	6	97	95	29
338	19	6	88	85	27
52	20	6	82	80	25
330	21	6	77	76	23
315	2	7	214	210	64
276	3	7	208	191	62
278	4	7	194	192	58
283	5	7	186	172	56
55	6	7	159	173	52
54	7	7	139	160	48
144	8	7	143	146	44
145	9	7	131	134	40
1	10	7	122	126	38
2	11	7	119	117	36
205	12	7	111	111	33
202	13	7	111	107	33
223	14	7	106	104	32
225	15	7	104	102	31
226	16	7	103	101	31
228	17	7	99	97	30
203	18	7	94	93	28
51	19	7	85	86	26
48	20	7	70	76	23
42	21	7	74	75	23
267	2	8	221	229	69
277	3	8	195	202	60
339	4	8	185	197	59
53	5	8	155	179	54
57	6	8	146	171	51
56	7	8	132	166	50
147	8	8	127	148	44
148	9	8	127	140	42
4	10	8	106	129	39
3	11	8	114	121	36
70	12	8	110	115	35
206	13	8	109	108	33
207	14	8	105	108	32
227	15	8	104	104	31
214	16	8	100	101	30
215	17	8	98	98	30
41	18	8	88	91	27
46	19	8	78	86	26
44	20	8	54	66	20
711	1	9	210	254	76
279	2	9	206	218	65
322	3	9	201	209	63
273	4	9	181	201	60
356	5	9	172	191	57
194	6	9	111	165	50
58	7	9	137	166	50
183	8	9	100	152	46
146	9	9	111	141	42
123	10	9	93	134	40
73	11	9	105	118	35
78	12	9	108	114	34
71	13	9	103	110	33
76	14	9	95	107	32
213	15	9	99	104	31
72	16	9	93	102	31
43	17	9	88	96	29
49	18	9	65	83	25
47	19	9	61	74	22
164	20	9	37	58	17
327	2	10	187	231	69
308	3	10	188	206	62
294	4	10	131	187	56
192	5	10	115	174	52
196	6	10	111	170	51
197	7	10	98	162	49
256	8	10	81	155	47
182	9	10	88	151	45
125	10	10	78	134	40
311	11	10	88	124	37
306	12	10	94	114	34
75	13	10	100	112	34
79	14	10	87	107	32
74	15	10	84	101	30
50	16	10	87	98	29
45	17	10	73	92	28
163	18	10	52	73	22
168	19	10	46	65	20
355	2	11	138	228	68
318	3	11	119	207	62
325	4	11	73	186	56
193	5	11	94	172	52
240	6	11	81	167	50
195	7	11	91	164	49
232	8	11	77	160	48
238	9	11	78	149	45
181	10	11	78	143	43
128	11	11	80	129	39
126	12	11	73	124	37
280	13	11	87	115	34
270	14	11	76	116	35
77	15	11	84	107	32
6	16	11	65	99	30
165	17	11	49	81	24
167	18	11	41	68	20
162	19	11	26	53	16
709	3	12	68	226	83
348	4	12	58	195	81
155	5	12	68	169	51
237	6	12	71	168	50
253	7	12	76	164	49
180	8	12	68	152	46
184	9	12	70	147	44
108	10	12	60	140	42
107	11	12	60	133	40
127	12	12	64	126	38
124	13	12	58	118	35
8	14	12	59	109	33
9	15	12	62	98	29
166	16	12	46	85	25
119	17	12	27	63	19
122	18	12	23	63	19
118	19	12	18	51	15
292	3	13	65	216	110
326	4	13	61	205	97
336	5	13	61	179	54
158	6	13	51	169	55
264	7	13	68	163	49
156	8	13	58	158	47
161	9	13	61	154	46
104	10	13	59	145	43
286	11	13	54	137	41
110	12	13	57	136	41
129	13	13	58	123	37
288	14	13	45	110	33
7	15	13	51	93	28
120	16	13	29	88	26
121	17	13	31	76	23
328	4	14	60	199	109
282	5	14	56	186	99
157	6	14	52	173	71
160	7	14	58	163	49
159	8	14	47	158	53
17	9	14	45	150	48
105	10	14	47	145	44
109	11	14	46	137	41
137	12	14	40	134	49
323	13	14	46	122	37
112	14	14	36	118	40
5	15	14	43	100	30
351	16	14	20	67	23
350	17	14	21	62	19
266	4	15	59	196	124
303	5	15	56	185	114
281	6	15	52	174	91
290	7	15	51	169	72
154	8	15	49	163	75
284	9	15	44	148	54
18	10	15	43	143	54
287	11	15	42	138	54
138	12	15	41	137	59
106	13	15	39	129	39
114	14	15	31	104	43
113	15	15	31	103	32
245	5	16	57	191	123
341	6	16	54	181	117
258	7	16	50	167	108
22	8	16	46	154	76
20	9	16	44	147	64
139	10	16	42	141	66
142	11	16	42	141	57
140	12	16	39	131	64
115	13	16	35	116	54
243	5	17	57	189	126
252	6	17	52	175	123
262	7	17	52	175	115
16	8	17	48	160	101
19	9	17	44	147	81
21	10	17	42	142	77
143	11	17	42	139	72
117	12	17	36	120	66
116	13	17	31	102	59
259	5	18	56	185	127
265	6	18	54	182	131
246	7	18	51	171	116
261	8	18	50	165	115
255	9	18	45	150	98
23	10	18	44	145	82
141	11	18	40	132	81
111	12	18	35	118	77
312	13	18	32	108	80
254	5	19	58	194	143
233	6	19	53	178	133
235	7	19	52	173	131
249	8	19	50	165	122
231	9	19	45	149	109
263	10	19	44	146	117
251	11	19	43	142	93
314	12	19	36	121	93
92	5	20	57	190	148
271	6	20	53	178	146
250	7	20	51	168	131
236	8	20	49	163	136
242	9	20	47	157	122
131	10	20	41	138	121
239	11	20	41	136	100
285	12	20	34	114	98
94	5	21	55	183	146
102	6	21	53	175	151
96	7	21	52	172	141
234	8	21	48	159	144
244	9	21	45	149	134
349	10	21	41	136	132
300	11	21	35	118	110
97	4	22	57	192	167
95	5	22	55	185	155
101	6	22	53	177	167
103	7	22	51	170	148
100	8	22	51	169	156
134	9	22	45	146	152
130	10	22	37	97	123
135	11	22	39	114	130
99	4	23	57	189	178
98	5	23	55	184	164
133	6	23	49	128	162
132	7	23	51	161	169
334	8	23	43	97	144
136	9	23	43	120	144
320	10	23	40	92	135
15	2	24	60	184	200
272	3	24	58	195	173
12	4	24	57	157	189
93	5	24	55	178	185
293	6	24	48	95	159
295	7	24	45	103	151
304	8	24	43	87	142
309	9	24	42	97	141
362	2	25	66	82	221
10	3	25	61	155	204
11	4	25	56	82	187
14	5	25	55	117	182
241	6	25	46	71	154
260	7	25	44	73	147
365	1	26	85	72	241
297	2	26	109	69	230
13	3	26	60	117	200
324	4	26	96	56	186
247	5	26	46	64	154
248	6	26	45	61	150
257	7	26	44	65	147
702	1	27	149	73	242
344	2	27	145	62	208
332	3	27	117	65	216
310	4	27	129	59	195
739	5	27	53	50	165
299	1	28	146	69	231
302	2	28	157	68	228
360	3	28	144	60	200
361	4	28	134	55	184
305	0	29	174	72	242
321	1	29	161	71	236
298	2	29	169	68	227
313	3	29	152	66	219
633	0	30	211	76	255
343	1	30	180	71	235
291	2	30	181	64	213
301	3	30	164	64	214
742	4	30	175	59	195
333	0	31	209	69	230
316	1	31	215	64	194
268	2	31	189	57	155
296	3	31	191	57	184
557	1	32	236	71	71
358	2	32	181	54	94
359	3	32	169	51	96
357	1	33	198	59	75